#,Question,Asker Initials,Answer,Question Time,Answerer Initials
1,yeah we can see you :),M.K.,,02/24/2026 08:50:10 AM,--
2,chat is disabled,M.K.,"Please use the Q&A button to ask questions! As Maxim mentioned, they will be copied over to the Github Discussion forum after the meeting, https://github.com/pulseq/ISMRM-Virtual-Meeting--February-24-26-2026/discussions.",02/24/2026 08:50:26 AM,J.N.
3,Could you please share the link to the github repo for this workshop?,D.S.,https://github.com/pulseq/ISMRM-Virtual-Meeting--February-24-26-2026,02/24/2026 09:04:44 AM,J.N.
4,"is matlab version (e.g. 2014a,...,2024a) important? which toolboxes should be included?",O.P.,the pulseq matlab software should be added into matlab’s path: https://github.com/pulseq/pulseq,02/24/2026 09:20:00 AM,Q.C.
4,"is matlab version (e.g. 2014a,...,2024a) important? which toolboxes should be included?",O.P.,the matlab version should not be very important for pulseq programming.,02/24/2026 09:20:00 AM,Q.C.
5,Is there any advantage to using PyPulseq over the Matlab version?,M.S.,"there are other tools compatible with PyPulseq, such as MRzero. Check the open-source software with Pulseq support form here: https://pulseq.github.io/links.html
And if you are a Python person, Pypulseq is a better choice.",02/24/2026 09:20:57 AM,Q.C.
6,does the Siemens interpreter allow for FOV scaling?,J.T.,yes,02/24/2026 09:25:09 AM,Q.C.
7,Does pulseq automatically apply gradient pre-emphasis or does the user need to define pre-emphasis?,T.H.,"Yes -- in the end (hardware), a Pulseq sequence is just like any other pulse sequence and is subject to the same preemphasis.",02/24/2026 09:28:59 AM,J.N.
8,Is EGG gating implemented for cardiac MRI sequences? How does it work? Is the triggering adaptive in case of heartrate variability throughout the scan?,A.A.,"Yes, with previous versions of pulseq the delay was fixed and the *.seq file had to be chosen according with subject RR. With soft delay this may be easier, although I did not test this yet.",02/24/2026 09:29:10 AM,A.G.
9,"Is it possible to feed Pulseq sequences into a simulator for MR spectroscopy, such as VESPA or FID-A?",R.M.,"Not that I know of, but this is a great opportunity for volunteering ;-)",02/24/2026 09:30:35 AM,M.Z.
10,"if the FOV or slice position is modified, is there a way within Pulseq to access the actual physical slice position via code?",T.J.,live answered,02/24/2026 09:31:30 AM,J.N.
11,How can I run .seq file in Siemens scanner?,W.T.,Yes,02/24/2026 09:32:38 AM,J.N.
11,How can I run .seq file in Siemens scanner?,W.T.,It is written in the C2P manual with the Pulseq interpreter.,02/24/2026 09:32:38 AM,Q.C.
12,who is responsible for maintaining the interpreters on the scanner?,P.B.,Depends on the vendor -- you'll hear more about that later.,02/24/2026 09:32:42 AM,J.N.
13,可以提中文问题吗？,A.A.,"the question is: if I can ask questions in Chinese. Answer: This workshop is an international workshop, it would be great if you can ask questions in English.",02/24/2026 09:33:59 AM,Q.C.
14,"There are different versions of Pulseq, such as Pulseq for MATLAB and PyPulseq. How should I choose between them? I am using a GE SIGNA system.",K.K.,A good question for all of us :),02/24/2026 09:34:30 AM,J.N.
15,Can pulseq be connected to Access-i by siemens to retrieve the raw data live?,A.A.,(Maxim) Not yet...,02/24/2026 09:36:34 AM,J.N.
16,What about Philips scanners?,A.N.,Talk by Tom Roos coming up later this morning!,02/24/2026 09:37:22 AM,J.N.
17,Is there a link that explains how can we add pulseSeq into our MATLAB environment,T.H.,I will show you in the basic Pulseq tutorial,02/24/2026 09:38:13 AM,Q.C.
17,Is there a link that explains how can we add pulseSeq into our MATLAB environment,T.H.,and the link is here: https://github.com/pulseq/tutorials,02/24/2026 09:38:13 AM,Q.C.
18,Is there any progress on bruker? it seems no update these days,W.S.,"Yes, there is a small group of volunteers, which is making quite some progress",02/24/2026 09:38:35 AM,M.Z.
19,where can we see pulseq past versions?,A.A.,"the vendor-neutral part (Matlab/PyPulseq) is available on GitHub and is available under different previous releases or version tags. For interpreters, you have to ask the maintainers of the respective interpreters.",02/24/2026 09:38:37 AM,M.Z.
20,"If now we designed sequence in Pulseq, still need MR vendors/bands to offer their interpreter... and the? ",W.L.,"We'll have several talks this week about vendor workflows -- see the ""Pulseq workflow and interpreter on..."" talks",02/24/2026 09:39:32 AM,J.N.
21,What are some of the challenges of developing  pulseq  sequences for other body parts eg Liver. what is the maximum FOV you can go?,A.A.,"Pulseq imposes no limits on FOV or other parameters, and does not limit the types of sequences you can execute.",02/24/2026 09:39:57 AM,J.N.
22,"I run run_all.m in .../pulseq-master/test and have problem with fid, more precisely parsemr('fid.seq') gives an error:",O.P.,"we need to have a look at it, but the current GitHub state is in a stable but yet unreleasd state, so the parts of the testing routines, like run_all.m, have not been tested. Nonetheless, we are happy to have a look at that at some point.",02/24/2026 09:40:46 AM,M.Z.
23,Do you have any inforamtions about the compatibility between the new PyPulseq version 1.5.X and MRZero? Until recently MRZero only supported older versions,E.S.,live answered,02/24/2026 09:41:43 AM,Q.C.
23,Do you have any inforamtions about the compatibility between the new PyPulseq version 1.5.X and MRZero? Until recently MRZero only supported older versions,E.S.,It seems MRzero only supports older version at the moment…,02/24/2026 09:41:43 AM,Q.C.
23,Do you have any inforamtions about the compatibility between the new PyPulseq version 1.5.X and MRZero? Until recently MRZero only supported older versions,E.S.,You can use the latest version of PyPulseq if you use the functionality to save/export the files in the Pulseq 1.4.x format. I am going to show some PyPulseq + MR-zero examples in the PyPulseq talk tomorrow.,02/24/2026 09:41:43 AM,P.S.
24,"Is there any plan to support logic within the sequence, e.g. for navigators, where you have to switch from repeatedly acquiring navigators to acquiring image data dependent on the content of the navigators? Or even to do things like adjusting slice positions to track motion?",B.R.,"hm, it is other way around: there is a special version of the Siemens interpreter, which is capable of accepting motion information and updating positions of the subsequent blocks, we have presented it at the ISMRM Motion Correction workshop in Quebec City some time ago. As for the first option 'gating-type' navigators, we actually don't have a plan right now.",02/24/2026 09:42:21 AM,M.Z.
24,"Is there any plan to support logic within the sequence, e.g. for navigators, where you have to switch from repeatedly acquiring navigators to acquiring image data dependent on the content of the navigators? Or even to do things like adjusting slice positions to track motion?",B.R.,"Also no plans on GE (that I'm aware of). But the vendor hooks/API to do so are now available (RTP), so could be done if there's interest and someone wants to roll their sleeves up .",02/24/2026 09:42:21 AM,J.N.
25,Will this tutorial video be shared later? ,A.A.,"Yes, recordings of all three days will be posted in the ISMRM virtual meeting archives, https://www.ismrm.org/virtual-meetings/archive/ --  BTW the recordings from our 2023 meeting are there.",02/24/2026 09:47:41 AM,J.N.
26,"Does the trigger behaviour change upon our changing the coil? The PGE2 official example 2dgre works perfectly with knee coil. but it stops with head coil, complaining the trigger setting is wrong.......",X.J.,"The only reason I can think of is that the RF dead/ringdown times are different, but would need to look at it more close (scanner type, software version, etc)-- can you contact me, or (better) post in the Issues forum on the GE Github interpreter.",02/24/2026 09:54:01 AM,J.N.
27,"Are there gradient ampltiudes/slew limits in Siemens outside of the maximal values (like 80mT/m and 200 T/m/s) such as RMS over time for example ?

My sequence runs for ~2min and then fail (despite the per-axes slew and ampltiude limits being respected).",Y.B.,live answered,02/24/2026 09:54:25 AM,M.Z.
27,"Are there gradient ampltiudes/slew limits in Siemens outside of the maximal values (like 80mT/m and 200 T/m/s) such as RMS over time for example ?

My sequence runs for ~2min and then fail (despite the per-axes slew and ampltiude limits being respected).",Y.B.,"there are some limits, but they are very dificult for us to assess. In general, there is this libBalance library from Siemens, which should be able to give you more advanced predictions, but in my experience it becomes unstable for longer sequences and maybe we don't engage all possible/relevant checks. But, from what I've heard, it also has a thermal model...",02/24/2026 09:54:25 AM,M.Z.
28,how is specifying the type of an RF pulse used later on e.g. ‘excitation’ or ‘refocusing’?,B.B.,"it is used for k-space calculation, e.g. 'excitation' resets the k-space position and 'refocusing' reflects it about the origin of k-space. Also on the scanner (Siemens-specific), you can scale RF pulses based on their type, e.g. scale down refocusing pulses without changing excitation or preparation pulses.",02/24/2026 09:54:54 AM,M.Z.
29,"If you wanted to substitute trapezoids for waveforms in the gradient blocks, could you using PulSeq?",C.C.,"yes, you can convert trapezoids to fully-sampled arbitrary gradient objects, ther is a variety of ways for doing this. One you can see here: https://github.com/pulseq/tutorials/blob/main/11_from_GRE_to_EPI/seq/s06_EPI_SingleTraj.m",02/24/2026 09:55:46 AM,M.Z.
30,Is there any way to design a sequence with multiple nucleus for RF and ADC?,Z.L.,Pulseq doesn’t support this feature yet. You can post this into the discussion page in GitHub to see if other people have a solution for it.,02/24/2026 09:56:48 AM,Q.C.
31,"Can one load a pre-defined RF pulse, e.g. from a text file, into an RF event in Pulseq?",R.M.,"yes, use the mr.makeArbitraryRf function",02/24/2026 09:57:19 AM,Q.C.
32,"How to get system parameters for initial limits (e.g. gradients), if my MRT is Siemens Prisma XA60A?",O.P.,You can see this information inside your IDEA virtual machine with some command. I don’t remember the command exactly.,02/24/2026 09:58:40 AM,Q.C.
33,"I had tried ""sys"" but then engine list appears. Suprisingly I have no Prisma in a list, but only Skyra (with 2TR channels) and there are no hardware limits.",O.P.,use ‘imprint’ in the IDEA command window.,02/24/2026 10:02:19 AM,Q.C.
34,Can you graphically place imaging slices on the scanner and have the information input into your sequence ?,J.V.,On Siemens you can position and angulate slices using the standard UI. This applies rotation matrices and frequency/phase shifts to your sequence. The information on the applied position offsets and angular orientation is storred in the raw data / twix file,02/24/2026 10:03:40 AM,M.Z.
34,Can you graphically place imaging slices on the scanner and have the information input into your sequence ?,J.V.,"On Thur we'll hear about an approach for doing that (Matteo's talk), demonstrated on GE.",02/24/2026 10:03:40 AM,J.N.
35,"are these talks recorded, if so, will they be available afterwards",A.A.,Yes they'll be avvailable at https://www.ismrm.org/virtual-meetings/archive/,02/24/2026 10:03:42 AM,J.N.
36,"re: system limits, you can launch command window on your scanner’s console and type “imprint”. this will provide gmax/smax limits and forbidden frequencies.",B.B.,,02/24/2026 10:04:19 AM,--
37,Yeah she is frozen for me as well,M.K.,"yes, we move on",02/24/2026 10:05:28 AM,M.Z.
38,measperm,C.G.,,02/24/2026 10:06:49 AM,--
39,"Sorry, I want to correct my previous request: Skyra with 2TX transmit RF channels. Prisma still is in the list but with only one channels which I do not use.",O.P.,this question is not clear. Could you please post a new one in the chat?,02/24/2026 10:07:18 AM,Q.C.
40,Do you have to define B0 in the mr.opts and if not what is the default B0 value used for the seq file?,A.A.,default is 1.5T but it is not stored in the .seq file,02/24/2026 10:07:30 AM,M.Z.
41,imprint?,F.S.,"yes, this is the commandto print out the hardware specification of the specific scanner in the IDEA command window.",02/24/2026 10:08:35 AM,D.Q.
42,something like that,F.S.,,02/24/2026 10:08:54 AM,--
43,"What is the shortest TEdelay we can have on GE with Pulseq? Do we need to add the 54 us blanking with 40 us ADC starting SSP period as well as the scanner-dependent gradient delay?

",A.A.,"Yes exactly, it comes out to be about 100us which is the current limit for the pge2 interpreter. But the scanner can support much shorte TE -- some folks have asked in the past about UTE and we can coordinate efforts if there's interest. Contact me and let's see what we want to do.",02/24/2026 10:18:30 AM,J.N.
44,"sorry about the recording again, will it be available to non ISMRM members ?",A.A.,"my understanding that it will be available to all registered participants, but we may need to check wit the ISMRM how they handle it.",02/24/2026 10:20:39 AM,M.Z.
45,"I have a question about cross-vendor sequence translation using Pulseq. If a pusleq sequence is developed on Siemens and then implemented on GE or Philips, should we expect the timing and waveforms to be exactly identical? Since vendors have different hardware constraints (gradient/RF raster times, slew limits, system dead times), exact timing may not be preserved. If we want to keep sequences as consistent as possible across vendors, is designing on a common base timing grid, like a shared multiple of raster times, or is there a better strategy to ensure cross-vendor consistency?",J.S.,"Yes, designing using a comon block/event duration raster is a good idea to ensure identical timing across vendors. Same for the dead/ringdown times -- you can design for the worst case if perfect  harmonization is the goal. Differences due to waveform raster times are inevitable (e.g., 4us on GE vs 10us on Siemens) and should be kept in mind.",02/24/2026 10:24:07 AM,J.N.
45,"I have a question about cross-vendor sequence translation using Pulseq. If a pusleq sequence is developed on Siemens and then implemented on GE or Philips, should we expect the timing and waveforms to be exactly identical? Since vendors have different hardware constraints (gradient/RF raster times, slew limits, system dead times), exact timing may not be preserved. If we want to keep sequences as consistent as possible across vendors, is designing on a common base timing grid, like a shared multiple of raster times, or is there a better strategy to ensure cross-vendor consistency?",J.S.,"In general. multiplatform / multivendor harmonization is a process. With using comon rasters and ""worst case"" constraints you can establish something I would call ""a common baseline"". By runing this sequence you can discover quality/signal differences inherent to respective systems. From there on you can itertively optimze your sequences for specific platforms, but now in a more predictable step-wise process. Importantly, you can still share the source code script which generate seq files accross platforms.",02/24/2026 10:24:07 AM,M.Z.
46,Running the matlab script my first 2 kspace trajectories are just a single dot and the third kspace trajectory becomes a line. The third .seq doesn't include a Gy. I didn't make any changes to the code but it seems to me the output is slightly different to what was shown in the video. Running in 2024a Research license,M.K.,"hi, the CONSTRUCT SEQUENCE part is not completed. You need to fill the gx and gy correctly there. I will update the scripts in the repository now.",02/24/2026 10:24:26 AM,Q.C.
47,Will python support pulseq 1.5.1?,T.T.,"There are already several open pull requests for the 1.5.1 features. It might still take some time, but we are working on it.",02/24/2026 10:25:43 AM,P.S.
48,"Maybe i am wrong, just to confirm, it appears that there is a function to translate trajectory back to gradient strength? Does it take max slew and max grad into account?",X.J.,"there is a function called mr.traj2grad(), which gives you back gradients and optionally slew rate vectors... But, it assumes a constant time stepping for the provided k-space trajectory, so you have to do optimisation / resampling yourself. A very ""raw"" example how tht could be done you can find in a demo spiral sequence (demoSeq/writeSpiral). Uncortunately, it is pretty much like a ""playground"" and not a well established tutorial.",02/24/2026 10:32:41 AM,M.Z.
49,does seq.calcRfPower require some sort of reference voltage to be consistent with what is played on the scanner or do we need to scale what is returned by the function?,B.B.,"no, it gives you a response in Hz for B1_rms or Hz^2 for ""relative SAR"". You can convert the former to uT by multiplying by gamma and then get more or less identical results as the values in the Siemens UI. You need a coil model and the reference voltage to get to real SAR thoug, but we don't have functions for that. I Hear PyPulseq integrates with some kind of advanced SAR library that can even be used for pTX",02/24/2026 10:33:16 AM,M.Z.
50,"it seems that the sequence run-time loop structure is in the .seq file itself. My question is, how to run .seq file in a retrospective mode? like, retro cardiac cine?",Y.L.,The information about the scan timming can be exported with the raw data and with that information you can have the relation between acquisition and R wave to retrospectively bin into different phases.,02/24/2026 10:33:19 AM,A.G.
51,"(For theodore Trouard) I sucessfuly used this PyPulseq fork that implement 1.5.X features:

https://github.com/mcencini/pypulseq",A.A.,,02/24/2026 10:34:20 AM,--
52,Can shim settings be addressed in Pulseq?,R.M.,"yes, there are several shim options available in Pulseq on Siemens, same as the product sequence.",02/24/2026 10:35:22 AM,Q.C.
52,Can shim settings be addressed in Pulseq?,R.M.,"I will also talk about it on Thursday, so stay tuned ;-)",02/24/2026 10:35:22 AM,M.Z.
52,Can shim settings be addressed in Pulseq?,R.M.,"On our Philips interpreter, you can use all such settings as normal! 
Since Pulseq seqences run as a ""normal spectroscopy"" sequence, the full shim settings are available.",02/24/2026 10:35:22 AM,T.R.
53,a silly question.... where can we find all the GE auxiliary packages and examples for the most recent examples for workflow?,A.A.,live answered,02/24/2026 10:55:28 AM,A.G.
54,How well does pulseq handle non cartesian trajectories in 3D? in past on siemens we noticed sequence crashes in prep for very long seq file ,C.R.,The crashes is due to the libbalance. check the related discussion from here: https://github.com/pulseq/pulseq/discussions/78,02/24/2026 10:56:22 AM,Q.C.
54,How well does pulseq handle non cartesian trajectories in 3D? in past on siemens we noticed sequence crashes in prep for very long seq file ,C.R.,most of the time it is an unfortunate limitation of libBalance. But you can switch it off in the sequence->special card of the interpreter.,02/24/2026 10:56:22 AM,P.D.
55,are these philips slides available?,M.K.,live answered,02/24/2026 11:00:21 AM,A.G.
56,Can Pulseq support intra-scan dynamic parameter updates without regenerating the .seq file? ,A.A.,"no, not really. The only exception is a special nterpreter that is capable of applying prospective motion correction to all (or selected) blocks",02/24/2026 11:00:23 AM,M.Z.
57,"Sorry, Sr. Roos, could you add the slides from this presentation to the github repository, please? This specific one is not there and I would like to review it later.",M.S.,live answered,02/24/2026 11:01:24 AM,A.G.
57,"Sorry, Sr. Roos, could you add the slides from this presentation to the github repository, please? This specific one is not there and I would like to review it later.",M.S.,They are available now! And the full (animated figure) slides can be found here: https://docs.google.com/presentation/d/1i8xcUI4wUK60EYnoMb9LHfXbyOoLzGw2Zzv3u7lv7ns/edit?usp=sharing,02/24/2026 11:01:24 AM,T.R.
58,"What does “Pulseg” mean? Does the “g” stand for “segment,” or does it refer to GE?",K.K.,"It refers to ""segment"", as in 'segmented Pulseq sequence representation'. The PulSeg representation is vendor-neutral -- the GE dependency is handled by the +pge2 toolbox.",02/24/2026 11:01:39 AM,J.N.
59,"If we want to use acceleration methods on a Siemens scanner like GRAPPA for example, does this need to be included in the pulse seq file, Or can we just choose to use GRAPPA from the scanner UI",T.H.,"With the new version and labels would be possible to do GRAPPA, but I has to be included in the *.seq file.",02/24/2026 11:03:05 AM,A.G.
60,Does PGE support PTx now?,X.J.,"Hi, not yet - I am trying to figure out how to ensure SAR safety",02/24/2026 11:06:17 AM,M.C.
61,"Might be a Philips representative question, but do yo know if Pulseq can be run on Philips Marlin, MR Linac scanners",A.G.,live answered,02/24/2026 11:09:46 AM,A.G.
62,"Andreaia, thanks for your anwser. But what have sugguested might not work for Cartesian trajectory.",Y.L.,I don't know if this is what you were refering. We have the timing of the scanning for each line related to the R wave. At this point we cannot use navigator for respiratory motion which can limits the scan duration possible when using cartesian trajectory. Let me know if this helps,02/24/2026 11:15:21 AM,A.G.
63,"What is the output of the interpreter? Is it an app on the Host so that you can load  and run .seq directly, or it converts .seq to .dll and .so, for example on the Siemens scanners?",M.Q.,"In Siemens systems the pulseq interpreter is compiled once into *.dll and *.so, and installed in the scanner. These are different files from *.seq files which describe the sequence you want to run.",02/24/2026 11:19:42 AM,A.G.
63,"What is the output of the interpreter? Is it an app on the Host so that you can load  and run .seq directly, or it converts .seq to .dll and .so, for example on the Siemens scanners?",M.Q.,On Siemens the interreter is able to run .seq files directly. There is no .dll files generated for .seq files.,02/24/2026 11:19:42 AM,M.Z.
63,"What is the output of the interpreter? Is it an app on the Host so that you can load  and run .seq directly, or it converts .seq to .dll and .so, for example on the Siemens scanners?",M.Q.,The same applies to our Philips interpreter; there is no need to compile .seq files!,02/24/2026 11:19:42 AM,T.R.
63,"What is the output of the interpreter? Is it an app on the Host so that you can load  and run .seq directly, or it converts .seq to .dll and .so, for example on the Siemens scanners?",M.Q.,Same for GE,02/24/2026 11:19:42 AM,M.C.
64,Support for compressed sensing?,F.A.,"any sampling scheme is possible in your .seq files, but you have to code the reconstruction ;-)",02/24/2026 11:25:19 AM,M.Z.
65,Do you have bart based reconstruction for raw data from CMMR EPI multislice sequence run on Siemens Prisma?,O.P.,live answered,02/24/2026 11:25:36 AM,R.N.
66,"Just for all,
All figures shown in this presentation exist as examples in the library which can be pulled and run directly on collab / binder etc.
https://mind-inria.github.io/mri-nufft/generated/autoexamples/index.html",C.R.,,02/24/2026 11:35:33 AM,--
67,Is it available to see the Q&A that is discussed here after the webinar?,A.A.,Yes I believe (and sure hope!) so.,02/24/2026 11:36:16 AM,J.N.
68,Inverse solution is not unique. How do you judge about correctness of reconstruction? What is your ground thruth for quality test?,O.P.,live answered,02/24/2026 11:38:08 AM,R.N.
69,Where can we find the code for the MRI-NUFFT examples in the demo talk？,X.J.,Check the link above,02/24/2026 11:43:57 AM,R.N.
70,"A very practical question; apologies if its not the right place to ask: I have a .seq file ; generated using the newly developed tool dvs2pulseq; that shows up differntly in pypulsseq and the matlab pulseq. In pypulseq it looks fine, but in matlab it shows some spurious RF pulses. 
Which one is more reliable?",H.R.,Yeah sure I can share the file,02/24/2026 11:45:35 AM,H.R.
70,"A very practical question; apologies if its not the right place to ask: I have a .seq file ; generated using the newly developed tool dvs2pulseq; that shows up differntly in pypulsseq and the matlab pulseq. In pypulseq it looks fine, but in matlab it shows some spurious RF pulses. 
Which one is more reliable?",H.R.,live answered,02/24/2026 11:45:35 AM,R.N.
70,"A very practical question; apologies if its not the right place to ask: I have a .seq file ; generated using the newly developed tool dvs2pulseq; that shows up differntly in pypulsseq and the matlab pulseq. In pypulseq it looks fine, but in matlab it shows some spurious RF pulses. 
Which one is more reliable?",H.R.,Can you just reiterate where is the best place to share it?,02/24/2026 11:45:35 AM,H.R.
70,"A very practical question; apologies if its not the right place to ask: I have a .seq file ; generated using the newly developed tool dvs2pulseq; that shows up differntly in pypulsseq and the matlab pulseq. In pypulseq it looks fine, but in matlab it shows some spurious RF pulses. 
Which one is more reliable?",H.R.,Maybe GitHub issues?,02/24/2026 11:45:35 AM,A.S.
71,"We've had issues using Pulseq for multinuclear imaging. Occasionally, our Siemens scanner will simply stop running anything and requires a complete reboot (20 min process). The logviewer notes a 'table position' error, but this doesn't make much sense to me given our protocols? We haven't had much luck in trying to replicate the crashes so aren't exactly sure what the exact trigger for failure is. Any ideas? (Great presentations btw!)",R.T.,"Yes I saw this in the documentation, but wasn't sure if any solutions had been found. Thank you for the response!",02/24/2026 11:45:51 AM,R.T.
71,"We've had issues using Pulseq for multinuclear imaging. Occasionally, our Siemens scanner will simply stop running anything and requires a complete reboot (20 min process). The logviewer notes a 'table position' error, but this doesn't make much sense to me given our protocols? We haven't had much luck in trying to replicate the crashes so aren't exactly sure what the exact trigger for failure is. Any ideas? (Great presentations btw!)",R.T.,Can the process mentoined be restarted via csacompview ?,02/24/2026 11:45:51 AM,M.Z.
71,"We've had issues using Pulseq for multinuclear imaging. Occasionally, our Siemens scanner will simply stop running anything and requires a complete reboot (20 min process). The logviewer notes a 'table position' error, but this doesn't make much sense to me given our protocols? We haven't had much luck in trying to replicate the crashes so aren't exactly sure what the exact trigger for failure is. Any ideas? (Great presentations btw!)",R.T.,"Ok good to know. We're certainly trying to isolate the failure trigger, and will certainly keep you posted on any findings",02/24/2026 11:45:51 AM,R.T.
71,"We've had issues using Pulseq for multinuclear imaging. Occasionally, our Siemens scanner will simply stop running anything and requires a complete reboot (20 min process). The logviewer notes a 'table position' error, but this doesn't make much sense to me given our protocols? We haven't had much luck in trying to replicate the crashes so aren't exactly sure what the exact trigger for failure is. Any ideas? (Great presentations btw!)",R.T.,"Yes, autoselect is a pain, and it always resets our frequencies too ha",02/24/2026 11:45:51 AM,R.T.
71,"We've had issues using Pulseq for multinuclear imaging. Occasionally, our Siemens scanner will simply stop running anything and requires a complete reboot (20 min process). The logviewer notes a 'table position' error, but this doesn't make much sense to me given our protocols? We haven't had much luck in trying to replicate the crashes so aren't exactly sure what the exact trigger for failure is. Any ideas? (Great presentations btw!)",R.T.,Thank you!!,02/24/2026 11:45:51 AM,R.T.
71,"We've had issues using Pulseq for multinuclear imaging. Occasionally, our Siemens scanner will simply stop running anything and requires a complete reboot (20 min process). The logviewer notes a 'table position' error, but this doesn't make much sense to me given our protocols? We haven't had much luck in trying to replicate the crashes so aren't exactly sure what the exact trigger for failure is. Any ideas? (Great presentations btw!)",R.T.,"If ""table undocked"" problem happens, the best thing is to wait for 1-2 minutes and not try to interact with the scanner before the panels on the magnet recover",02/24/2026 11:45:51 AM,M.Z.
72,"In Pulseq, the RF pulse definition corresponds to the complex baseband envelope, not the fully carrier-modulated RF waveform. I think the final RF signal stored in the final .seq file contains both the amplitude modulation and the phase modulation. Is there any way to extract this RF signal from the .seq file?",E.A.,"there is both amplitude and phase modulation vectors stored in the Pulseq file, so I'm not sure which information are you missing currently",02/24/2026 11:51:31 AM,M.Z.
72,"In Pulseq, the RF pulse definition corresponds to the complex baseband envelope, not the fully carrier-modulated RF waveform. I think the final RF signal stored in the final .seq file contains both the amplitude modulation and the phase modulation. Is there any way to extract this RF signal from the .seq file?",E.A.,The RF Sinc pulse does not contain phase information. It is the envelope of the main signal at the larmor frequency.,02/24/2026 11:51:31 AM,E.A.
72,"In Pulseq, the RF pulse definition corresponds to the complex baseband envelope, not the fully carrier-modulated RF waveform. I think the final RF signal stored in the final .seq file contains both the amplitude modulation and the phase modulation. Is there any way to extract this RF signal from the .seq file?",E.A.,"since pulseq used a compress procedure when storing the shape, maybe an decode is available?",02/24/2026 11:51:31 AM,M.H.
73,"Does the MRI-nufft presentation mean there is an image recon component, or is it just related to seq programming?",M.Q.,"Here is a DL example: https://mind-inria.github.io/mri-nufft/generated/autoexamples/GPU/example_fastMRI_UNet.html 
We 

We also have contributed to https://deepinv.github.io/deepinv/auto_examples/physics/demo_mri_tour.html",02/24/2026 11:52:59 AM,P.C.
74,Can you make a poll tomorrow which vendors are being used by the participants (multiple choice with unusual ones and multiples being allowed)?,S.L.,,02/24/2026 12:02:15 PM,--
